Saison,Semaine,Positifs A,Positifs B ,Tests
2007,45,0,0,330
2007,46,1,0,368
2007,47,0,0,435
2007,48,2,0,424
2007,49,3,1,443
2007,50,2,0,528
2007,51,2,2,592
2007,52,10,1,608
2007,1,6,0,671
2007,2,9,4,623
2007,3,9,2,528
2007,4,23,5,627
2007,5,40,4,683
2007,6,52,13,675
2007,7,104,15,848
2007,8,201,30,1084
2007,9,275,40,1463
2007,10,317,63,1629
2007,11,212,58,1534
2007,12,162,82,1394
2007,13,101,86,1121
2007,14,64,91,1128
2007,15,25,97,980
2007,16,30,73,894
2007,17,17,61,838
2007,18,12,38,672
2007,19,0,37,570
2007,20,3,17,424
2007,21,3,11,357
2007,22,1,1,263
2008,45,2,1,208
2008,46,0,0,277
2008,47,1,1,327
2008,48,1,1,343
2008,49,2,0,386
2008,50,1,1,505
2008,51,8,0,536
2008,52,15,1,614
2008,1,19,3,800
2008,2,26,2,815
2008,3,36,7,934
2008,4,48,7,858
2008,5,68,12,1060
2008,6,103,17,1291
2008,7,178,20,1338
2008,8,222,49,1484
2008,9,258,57,1680
2008,10,253,73,1698
2008,11,215,94,1672
2008,12,163,97,1534
2008,13,152,102,1576
2008,14,137,115,1564
2008,15,100,121,1476
2008,16,79,135,1424
2008,17,58,105,1240
2008,18,41,62,1075
2008,19,19,38,682
2008,20,17,12,625
2008,21,5,9,474
2008,22,2,8,428
2008,23,5,4,414
2008,24,2,1,267
2008,25,1,0,263
2013,45,33,1,190
2013,46,79,2,979
2013,47,129,2,1255
2013,48,345,9,1781
2013,49,769,21,2787
2013,50,1475,18,4649
2013,51,1825,12,4819
2013,52,1734,28,5334
2013,1,1409,19,4777
2013,2,685,15,3323
2013,3,360,7,2487
2013,4,241,15,2105
2013,5,170,31,1910
2013,6,135,27,1768
2013,7,102,57,1719
2013,8,81,148,1725
2013,9,57,157,1543
2013,10,43,136,1380
2013,11,37,144,1211
2013,12,26,172,1199
2013,13,17,136,1263
2013,14,18,194,1338
2013,15,11,193,1363
2013,16,11,132,1240
2013,17,12,124,1139
2013,18,5,77,1024
2013,19,3,38,800
2013,20,2,19,631
2013,21,4,14,574
2013,22,4,4,491
2013,23,0,3,528
2014,45,5,10,712
2014,46,3,3,823
2014,47,15,10,957
2014,48,24,12,1061
